Datetime,Open,High,Low,Close,Volume
2026-01-20 05:00:00,6903.25,6904.0,6901.75,6903.75,0
2026-01-20 05:05:00,6904.0,6906.75,6904.0,6904.5,1141
2026-01-20 05:10:00,6904.5,6906.0,6904.0,6904.25,351
2026-01-20 05:15:00,6904.5,6905.0,6902.25,6905.0,527
2026-01-20 05:20:00,6905.0,6906.0,6904.25,6905.75,357
2026-01-20 05:25:00,6905.75,6909.25,6905.25,6908.25,919
2026-01-20 05:30:00,6908.25,6909.0,6908.0,6909.0,427
2026-01-20 05:35:00,6909.0,6909.0,6905.5,6905.5,634
2026-01-20 05:40:00,6905.5,6906.0,6903.75,6905.25,549
2026-01-20 05:45:00,6905.0,6906.75,6903.75,6905.75,732
2026-01-20 05:50:00,6905.5,6908.5,6905.5,6907.5,464
2026-01-20 05:55:00,6907.5,6907.75,6904.5,6905.0,455
2026-01-20 06:00:00,6904.75,6905.25,6902.75,6903.5,803
2026-01-20 06:05:00,6903.25,6903.75,6898.5,6899.75,1812
2026-01-20 06:10:00,6899.5,6899.5,6897.75,6899.25,1014
2026-01-20 06:15:00,6899.25,6899.25,6892.25,6892.5,3233
2026-01-20 06:20:00,6892.25,6893.0,6890.25,6891.5,1684
2026-01-20 06:25:00,6891.25,6891.75,6885.75,6887.25,2927
2026-01-20 06:30:00,6887.0,6889.25,6879.0,6879.75,5419
2026-01-20 06:35:00,6880.0,6885.25,6878.5,6882.5,3568
2026-01-20 06:40:00,6882.25,6885.0,6881.5,6884.25,1182
2026-01-20 06:45:00,6884.75,6886.0,6879.0,6882.5,2244
2026-01-20 06:50:00,6882.5,6885.0,6881.5,6884.25,1056
2026-01-20 06:55:00,6884.25,6888.75,6884.25,6887.75,1382
2026-01-20 07:00:00,6888.0,6889.5,6887.25,6888.5,1379
2026-01-20 07:05:00,6888.25,6889.25,6884.0,6889.0,1390
2026-01-20 07:10:00,6888.75,6889.5,6883.75,6883.75,1086
2026-01-20 07:15:00,6883.75,6885.0,6879.5,6881.5,1710
2026-01-20 07:20:00,6881.0,6884.5,6876.75,6883.5,2589
2026-01-20 07:25:00,6883.5,6885.75,6881.75,6884.0,1017
2026-01-20 07:30:00,6884.0,6885.25,6880.75,6881.25,836
2026-01-20 07:35:00,6881.5,6883.5,6880.25,6881.75,727
2026-01-20 07:40:00,6882.0,6883.75,6880.75,6880.75,708
2026-01-20 07:45:00,6880.75,6882.75,6878.0,6882.25,2065
2026-01-20 07:50:00,6882.5,6883.5,6880.0,6882.25,766
2026-01-20 07:55:00,6882.0,6884.75,6880.5,6882.5,973
2026-01-20 08:00:00,6882.5,6883.75,6877.25,6878.0,2479
2026-01-20 08:05:00,6878.0,6878.75,6872.0,6877.25,5057
2026-01-20 08:10:00,6877.5,6881.75,6877.0,6878.25,1720
2026-01-20 08:15:00,6878.25,6879.5,6870.0,6871.0,2742
2026-01-20 08:20:00,6871.25,6875.25,6868.5,6874.25,3399
2026-01-20 08:25:00,6874.5,6874.5,6870.75,6870.75,1750
2026-01-20 08:30:00,6870.75,6870.75,6865.0,6865.5,3384
2026-01-20 08:35:00,6865.25,6865.25,6857.0,6859.0,5653
2026-01-20 08:40:00,6859.0,6866.0,6857.5,6865.75,4061
2026-01-20 08:45:00,6865.75,6869.0,6863.75,6868.5,2817
2026-01-20 08:50:00,6868.5,6869.5,6865.75,6867.0,1857
2026-01-20 08:55:00,6867.25,6869.5,6862.75,6864.5,2127
2026-01-20 09:00:00,6864.5,6868.5,6861.5,6861.75,3020
2026-01-20 09:05:00,6862.0,6862.5,6856.75,6860.25,3691
2026-01-20 09:10:00,6860.0,6863.0,6859.5,6860.0,1970
2026-01-20 09:15:00,6859.75,6861.25,6855.25,6856.5,2358
2026-01-20 09:20:00,6856.5,6860.25,6854.0,6857.5,3191
2026-01-20 09:25:00,6857.0,6859.25,6853.25,6854.75,2753
2026-01-20 09:30:00,6854.5,6855.5,6847.75,6849.5,4706
2026-01-20 09:35:00,6849.0,6854.0,6848.25,6851.25,2543
2026-01-20 09:40:00,6851.5,6853.75,6848.75,6853.75,2309
2026-01-20 09:45:00,6853.5,6855.25,6848.5,6848.75,2296
2026-01-20 09:50:00,6848.5,6852.5,6847.0,6851.25,2127
2026-01-20 09:55:00,6851.0,6853.5,6851.0,6852.25,1245
2026-01-20 10:00:00,6852.25,6853.5,6848.5,6849.5,1171
2026-01-20 10:05:00,6849.25,6854.0,6847.5,6852.25,1299
2026-01-20 10:10:00,6852.0,6860.25,6852.0,6859.25,3109
2026-01-20 10:15:00,6859.5,6861.75,6858.75,6861.5,1588
2026-01-20 10:20:00,6861.0,6864.5,6860.5,6864.0,2025
2026-01-20 10:25:00,6864.0,6868.0,6862.5,6866.25,2914
2026-01-20 10:30:00,6866.5,6868.25,6863.25,6865.0,2392
2026-01-20 10:35:00,6864.75,6864.75,6862.0,6863.25,1316
2026-01-20 10:40:00,6862.75,6865.5,6860.5,6864.5,1161
2026-01-20 10:45:00,6864.75,6867.25,6864.25,6865.75,1136
2026-01-20 10:50:00,6865.5,6865.5,6862.75,6862.75,694
2026-01-20 10:55:00,6862.75,6864.75,6862.25,6862.75,1163
2026-01-20 11:00:00,6862.5,6869.75,6862.25,6869.25,1972
2026-01-20 11:05:00,6869.25,6869.5,6865.25,6865.75,1389
2026-01-20 11:10:00,6865.25,6868.5,6864.75,6866.75,951
2026-01-20 11:15:00,6866.75,6868.25,6862.5,6864.0,1131
2026-01-20 11:20:00,6864.0,6871.25,6862.0,6870.75,2312
2026-01-20 11:25:00,6870.5,6874.5,6866.75,6868.25,3360
2026-01-20 11:30:00,6868.0,6869.25,6865.5,6866.5,1626
2026-01-20 11:35:00,6866.75,6868.0,6865.5,6868.0,1037
2026-01-20 11:40:00,6868.0,6868.5,6864.0,6868.25,1185
2026-01-20 11:45:00,6867.75,6870.0,6866.25,6868.75,1096
2026-01-20 11:50:00,6868.5,6872.75,6867.5,6872.5,1217
2026-01-20 11:55:00,6872.75,6874.0,6869.0,6869.75,2271
2026-01-20 12:00:00,6869.75,6872.0,6866.5,6868.5,2701
2026-01-20 12:05:00,6868.0,6873.75,6867.25,6872.75,1894
2026-01-20 12:10:00,6872.75,6878.0,6872.75,6877.0,2614
2026-01-20 12:15:00,6877.0,6879.25,6870.75,6871.0,2468
2026-01-20 12:20:00,6871.0,6876.0,6871.0,6873.5,1950
2026-01-20 12:25:00,6873.75,6877.5,6871.75,6875.25,2329
2026-01-20 12:30:00,6875.0,6876.25,6874.0,6875.5,1712
2026-01-20 12:35:00,6875.5,6877.0,6873.5,6877.0,1655
2026-01-20 12:40:00,6877.0,6882.25,6876.75,6882.0,2722
2026-01-20 12:45:00,6882.0,6887.0,6881.5,6886.25,3679
2026-01-20 12:50:00,6886.0,6887.0,6883.5,6884.5,2323
2026-01-20 12:55:00,6884.5,6884.5,6879.25,6880.75,2909
2026-01-20 13:00:00,6881.0,6885.25,6878.25,6878.75,3047
2026-01-20 13:05:00,6878.5,6880.25,6876.75,6877.0,3173
2026-01-20 13:10:00,6877.25,6879.5,6874.5,6875.25,3222
2026-01-20 13:15:00,6875.0,6881.5,6874.75,6881.0,3378
2026-01-20 13:20:00,6881.0,6885.25,6879.25,6881.0,5768
2026-01-20 13:25:00,6880.75,6881.75,6877.25,6877.5,2394
2026-01-20 13:30:00,6877.5,6878.25,6860.5,6867.25,21055
2026-01-20 13:35:00,6867.25,6872.25,6862.75,6868.25,12593
2026-01-20 13:40:00,6868.5,6873.25,6866.75,6870.25,6889
2026-01-20 13:45:00,6870.5,6872.75,6867.5,6872.25,5510
2026-01-20 13:50:00,6872.5,6872.5,6866.25,6868.75,2928
2026-01-20 13:55:00,6868.75,6870.5,6867.25,6867.25,4259
2026-01-20 14:00:00,6867.25,6872.5,6865.75,6868.75,6203
2026-01-20 14:05:00,6868.5,6871.25,6868.0,6869.75,2992
2026-01-20 14:10:00,6869.75,6871.0,6867.5,6869.0,4390
2026-01-20 14:15:00,6869.0,6872.0,6866.0,6867.0,4332
2026-01-20 14:20:00,6866.75,6870.0,6865.25,6868.25,4784
2026-01-20 14:25:00,6868.25,6873.25,6865.5,6872.0,9886
2026-01-20 14:30:00,6871.75,6884.25,6869.0,6883.5,38173
2026-01-20 14:35:00,6883.75,6886.5,6875.75,6881.75,20557
2026-01-20 14:40:00,6882.0,6889.75,6873.0,6888.75,24698
2026-01-20 14:45:00,6889.0,6889.0,6875.0,6880.25,23256
2026-01-20 14:50:00,6879.75,6890.5,6877.5,6880.5,26102
2026-01-20 14:55:00,6880.25,6886.25,6876.0,6878.5,19478
2026-01-20 15:00:00,6878.5,6879.75,6866.75,6875.75,19662
2026-01-20 15:05:00,6875.5,6880.0,6866.25,6867.75,19006
2026-01-20 15:10:00,6868.0,6874.0,6865.5,6873.25,14886
2026-01-20 15:15:00,6873.5,6877.5,6868.5,6869.5,14900
2026-01-20 15:20:00,6869.25,6890.75,6868.5,6887.5,23045
2026-01-20 15:25:00,6887.25,6897.0,6887.25,6895.5,23705
2026-01-20 15:30:00,6895.5,6903.25,6893.5,6902.25,18902
2026-01-20 15:35:00,6902.0,6903.25,6895.5,6898.0,15986
2026-01-20 15:40:00,6897.75,6905.0,6896.5,6904.25,8317
2026-01-20 15:45:00,6894.5,6894.75,6893.75,6894.0,20822
2026-01-20 15:50:00,6894.0,6894.0,6888.25,6889.75,15385
2026-01-20 15:55:00,6889.75,6896.0,6886.25,6895.0,17280
2026-01-20 16:00:00,6895.25,6899.25,6890.5,6891.75,17855
2026-01-20 16:05:00,6891.5,6895.25,6886.25,6894.75,14796
2026-01-20 16:10:00,6894.75,6903.0,6894.5,6896.5,18237
2026-01-20 16:15:00,6896.25,6897.25,6891.75,6894.0,11013
2026-01-20 16:20:00,6894.0,6896.75,6886.75,6887.0,11225
2026-01-20 16:25:00,6886.75,6896.25,6882.5,6895.5,20287
2026-01-20 16:30:00,6895.5,6896.0,6889.75,6895.5,10043
2026-01-20 16:35:00,6895.5,6900.0,6893.75,6900.0,10142
2026-01-20 16:40:00,6900.0,6901.0,6886.0,6886.75,13988
2026-01-20 16:45:00,6886.75,6890.25,6883.5,6890.25,13448
